"cancer_type" "species" "correlation"
"small intestine" "Artibeus_jamaicensis" 0.149178610168563
"soft tissue sarcoma" "Artibeus_jamaicensis" 0.119958504295658
"testicular" "Artibeus_jamaicensis" 0.160925743340001
"thyroid" "Artibeus_jamaicensis" 0.225489176555919
"urothelial" "Artibeus_jamaicensis" 0.221300445543498
"uterine" "Artibeus_jamaicensis" 0.180583794099149
"all" "Ateles_geoffroyi" 0.604412516383826
"bladder" "Ateles_geoffroyi" 0.622195813199184
"breast" "Ateles_geoffroyi" 0.606325008607226
"central nervous system" "Ateles_geoffroyi" 0.54699966675819
"colon" "Ateles_geoffroyi" 0.603449127921864
"colorectal" "Ateles_geoffroyi" 0.592045430185838
"endometrial" "Ateles_geoffroyi" 0.57395931206812
"gastric" "Ateles_geoffroyi" 0.589516208497742
"glioma" "Ateles_geoffroyi" 0.652926575578626
"head and neck" "Ateles_geoffroyi" 0.556746778629273
"hepatocellular" "Ateles_geoffroyi" 0.61310396220509
"intestine" "Ateles_geoffroyi" 0.592448555287314
"kidney" "Ateles_geoffroyi" 0.658057465712075
"leukaemia" "Ateles_geoffroyi" 0.534134284903982
"liver" "Ateles_geoffroyi" 0.487187614896023
"lung" "Ateles_geoffroyi" 0.632993109600441
"lymphoma" "Ateles_geoffroyi" 0.550451618408825
"melanoma" "Ateles_geoffroyi" 0.625155827863951
"mesothelioma" "Ateles_geoffroyi" 0.75329879915206
"oesophagus" "Ateles_geoffroyi" 0.536767464126767
"other tumour types" "Ateles_geoffroyi" 0.640578904601333
"ovarian" "Ateles_geoffroyi" 0.596452393677156
"paediatric" "Ateles_geoffroyi" 0.588841911621243
"pancreas" "Ateles_geoffroyi" 0.613059264717932
"prostate" "Ateles_geoffroyi" 0.575425178266728
"rare other tumour types" "Ateles_geoffroyi" 0.731304347826087
"renal" "Ateles_geoffroyi" 0.554451446640951
"sarcoma" "Ateles_geoffroyi" 0.598923663195004
"skin" "Ateles_geoffroyi" 0.658308461592104
"small intestine" "Ateles_geoffroyi" 0.64945972475736
"soft tissue sarcoma" "Ateles_geoffroyi" 0.359500301464353
"testicular" "Ateles_geoffroyi" 0.552211109101842
"thyroid" "Ateles_geoffroyi" 0.591133591762041
"urothelial" "Ateles_geoffroyi" 0.654466506031861
"uterine" "Ateles_geoffroyi" 0.533788090930461
"all" "Balaenoptera_acutorostrata" 0.197601960343428
"bladder" "Balaenoptera_acutorostrata" 0.232363407075382
"breast" "Balaenoptera_acutorostrata" 0.163205794169752
"central nervous system" "Balaenoptera_acutorostrata" 0.170200247145795
"colon" "Balaenoptera_acutorostrata" 0.26628688757032
"colorectal" "Balaenoptera_acutorostrata" 0.224793620645047
"endometrial" "Balaenoptera_acutorostrata" 0.152747497389887
"gastric" "Balaenoptera_acutorostrata" 0.18197548262651
"glioma" "Balaenoptera_acutorostrata" 0.197463580201203
"head and neck" "Balaenoptera_acutorostrata" 0.241194104714352
"hepatocellular" "Balaenoptera_acutorostrata" 0.222747432715416
